Label,StopwordRemovedSentence
negative,ran follows examining one one different hypotheses rejecting suggestions becomes necessary admit existence marine animal enormous power
positive,great depths ocean entirely unknown us
negative,soundings cannot reach
neutral,passes remote depths beings live live twelve fifteen miles beneath surface waters organisation animals scarcely conjecture
negative,however solution problem submitted may modify form dilemma
neutral,either know varieties beings people planet
negative,know nature still secrets ichthyology us nothing conformable reason admit existence fishes cetaceans kinds even new species organisation formed inhabit strata inaccessible soundings accident sort either fatastical capricious brought long intervals upper level ocean
negative,contrary know living kinds must necessarily seek animal question amongst marine beings already classed case disposed admit existence gigantic narwhal
neutral,common narwhal unicorn sea often attains length sixty feet
negative,increase size fivefold tenfold give strength proportionate size lengthen destructive weapons obtain animal required
positive,proportions determined officers shannon instrument required perforation scotia power necessary pierce hull steamer
positive,indeed narwhal armed sort ivory sword halberd according expression certain naturalists
neutral,principal tusk hardness steel
positive,tusks found buried bodies whales unicorn always attacks success
negative,others drawn without trouble bottoms ships pierced gimlet pierces barrel
negative,museum faculty medicine paris possesses one defensive weapons two yards quarter length fifteen inches diameter base
neutral,well
negative,suppose weapon six times stronger animal ten times powerful launch rate twenty miles hour obtain shock capable producing catastrophe required
negative,information therefore shall maintain sea unicorn colossal dimensions armed halberd real spur armoured frigates rams war whose massiveness motive power would possess time
positive,thus may puzzling phenomenon explained unless something one ever conjectured seen perceived experienced within bounds possibility last words cowardly part certain point wished shelter dignity professor give much cause laughter americans laugh well laugh
negative,reserved way escape
positive,effect however admitted existence monster article warmly discussed procured high reputation
positive,rallied round certain number partisans
positive,solution proposed gave least full liberty imagination
positive,human mind delights grand conceptions supernatural beings
positive,sea precisely best vehicle medium giants terrestrial animals elephants rhinoceroses nothing produced developed
neutral,industrial commercial papers treated question chiefly point view
negative,shipping mercantile gazette lloyd list packet boat maritime colonial review papers devoted insurance companies threatened raise rates premium unanimous point
neutral,public opinion pronounced
positive,united states first field new york made preparations expedition destined pursue narwhal
positive,frigate great speed abraham lincoln put commission soon possible
neutral,arsenals opened commander farragut hastened arming frigate always happens moment decided pursue monster monster appear
neutral,two months one heard spoken
neutral,ship met
neutral,seemed unicorn knew plots weaving around
negative,much talked even atlantic cable jesters pretended slender fly stopped telegram passage making
neutral,frigate armed long campaign provided formidable fishing apparatus one could tell course pursue
neutral,impatience grew apace 2nd july learned steamer line san francisco california shanghai seen animal three weeks north pacific ocean
positive,excitement caused news extreme
neutral,ship revictualled well stocked coal
neutral,three hours abraham lincoln left brooklyn pier received letter worded follows aronnax professor museum paris fifth avenue hotel new york
positive,sir consent join abraham lincoln expedition government united states pleasure see france represented enterprise
neutral,commander farragut cabin disposal
neutral,cordially j b
neutral,three seconds arrival j
neutral,b hobson letter thought pursuing unicorn attempting passage north sea
negative,three seconds reading letter honourable secretary marine felt true vocation sole end life chase disturbing monster purge world
negative,returned fatiguing journey weary longing repose
positive,aspired nothing seeing country friends little lodging jardin des plantes dear precious collections
neutral,nothing could keep back
negative,forgot fatigue friends collections accepted without hesitation offer american government
positive,besides thought roads lead back europe particular benefit hurry towards coast france
positive,worthy animal may allow caught seas europe particular benefit bring back less half yard ivory halberd museum natural history meanwhile must seek narwhal north pacific ocean return france taking road antipodes
negative,conseil called impatient voice
positive,conseil servant true devoted flemish boy accompanied travels
positive,liked returned liking well
positive,phlegmatic nature regular principle zealous habit evincing little disturbance different surprises life quick hands apt service required despite name never giving advice even asked
neutral,conseil followed last ten years wherever science led
positive,never complain length fatigue journey never make objection pack portmanteau whatever country might however far away whether china congo
positive,besides good health defied sickness solid muscles nerves good morals understood
neutral,boy thirty years old age master fifteen twenty
neutral,may excused saying forty years old
negative,conseil one fault ceremonious degree would never speak third person sometimes provoking
neutral,conseil said beginning feverish hands make preparations departure
positive,certainly sure devoted boy
positive,rule never asked convenient follow travels time expedition question might prolonged enterprise might hazardous pursuit animal capable sinking frigate easily nutshell
positive,matter reflection even impassive man world
neutral,would conseil say
neutral,conseil called third time
neutral,conseil appeared
neutral,call sir said entering
positive,yes boy make preparations
neutral,leave two hours please sir replied conseil quietly
negative,instant lose lock trunk travelling utensils coats shirts stockings without counting many make haste collections sir observed conseil
neutral,think
neutral,archiotherium hyracotherium oreodons cheropotamus skins keep hotel live babiroussa sir feed absence besides give orders forward menagerie france returning paris said conseil
neutral,oh
positive,certainly answered evasively making curve curve please sir oh
neutral,nothing quite direct road
neutral,take passage abraham lincoln think proper sir coolly replied conseil
positive,see friend monster famous narwhal
neutral,going purge seas
positive,author work quarto two volumes mysteries great submarine grounds cannot forbear embarking commander farragut
negative,glorious mission dangerous one
neutral,cannot tell may go animals capricious
positive,go whether got captain pretty wide awake opened credit account babiroussa conseil following jumped cab
neutral,luggage transported deck frigate immediately
neutral,hastened board asked commander farragut
positive,one sailors conducted poop found presence good looking officer held hand
neutral,monsieur pierre aronnax said
positive,replied commander farragut welcome professor cabin ready bowed desired conducted cabin destined
positive,abraham lincoln well chosen equipped new destination
positive,frigate great speed fitted high pressure engines admitted pressure seven atmospheres
negative,abraham lincoln attained mean speed nearly eighteen knots third hour considerable speed nevertheless insufficient grapple gigantic cetacean
neutral,interior arrangements frigate corresponded nautical qualities
positive,well satisfied cabin part opening upon gunroom
neutral,shall well said conseil
positive,well honour leave hermit crab shell whelk said conseil
neutral,left conseil stow trunks conveniently away remounted poop order survey preparations departure
negative,moment commander farragut ordering last moorings cast loose held abraham lincoln pier brooklyn
neutral,quarter hour perhaps less frigate would sailed without
negative,missed extraordinary supernatural incredible expedition recital may well meet scepticism
neutral,commander farragut would lose day hour scouring seas animal sighted
neutral,sent engineer
neutral,steam full asked
positive,yes sir replied engineer
negative,go ahead cried commander farragut
neutral,quay brooklyn part new york bordering east river crowded spectators
positive,three cheers burst successively five hundred thousand throats thousands handkerchiefs waved heads compact mass saluting abraham lincoln reached waters hudson point elongated peninsula forms town new york
positive,frigate following coast new jersey along right bank beautiful river covered villas passed forts saluted heaviest guns
positive,abraham lincoln answered hoisting american colours three times whose thirty nine stars shone resplendent mizzen peak modifying speed take narrow channel marked buoys placed inner bay formed sandy hook point coasted long sandy beach thousands spectators gave one final cheer
positive,escort boats tenders still followed frigate leave came abreast lightship whose two lights marked entrance new york channel
negative,six bells struck pilot got boat rejoined little schooner waiting lee fires made screw beat waves rapidly frigate skirted low yellow coast long island eight bells lost sight north west lights fire island ran full steam dark waters atlantic
positive,captain farragut good seaman worthy frigate commanded
neutral,vessel one
neutral,soul
negative,question cetacean doubt mind would allow existence animal disputed board
positive,believed certain good women believe leviathan faith reason
neutral,monster exist sworn rid seas
positive,kind knight rhodes second dieudonn de gozon going meet serpent desolated island
negative,either captain farragut would kill narwhal narwhal would kill captain
neutral,third course
positive,officers board shared opinion chief
positive,ever chatting discussing calculating various chances meeting watching narrowly vast surface ocean
neutral,one took quarters voluntarily cross trees would cursed berth circumstances
negative,long sun described daily course rigging crowded sailors whose feet burnt extent heat deck render unbearable still abraham lincoln yet breasted suspected waters pacific
positive,ship company desired nothing better meet unicorn harpoon hoist board despatch
positive,watched sea eager attention
positive,besides captain farragut spoken certain sum two thousand dollars set apart whoever first sight monster cabin boy common seaman officer
negative,leave judge eyes used board abraham lincoln
positive,part behind others left one share daily observations
neutral,frigate might called argus hundred reasons
positive,one amongst us conseil seemed protest indifference question interested us seemed keeping general enthusiasm board
positive,said captain farragut carefully provided ship every apparatus catching gigantic cetacean
positive,whaler ever better armed
negative,possessed every known engine harpoon thrown hand barbed arrows blunderbuss explosive balls duck gun
negative,forecastle lay perfection breech loading gun thick breech narrow bore model exhibition 1867
positive,precious weapon american origin could throw ease conical projectile nine pounds mean distance ten miles
negative,thus abraham lincoln wanted means destruction better still board ned land prince harpooners
positive,ned land canadian uncommon quickness hand knew equal dangerous occupation
positive,skill coolness audacity cunning possessed superior degree must cunning whale singularly cute cachalot escape stroke harpoon
negative,ned land forty years age tall man six feet high strongly built grave taciturn occasionally violent passionate contradicted
positive,person attracted attention boldness look gave singular expression face
positive,calls canadian calls french little communicative ned land must admit took certain liking
negative,nationality drew doubt
positive,opportunity talk hear old language rabelais still use canadian provinces
positive,harpooner family originally quebec already tribe hardy fishermen town belonged france
positive,little little ned land acquired taste chatting loved hear recital adventures polar seas
positive,related fishing combats natural poetry expression recital took form epic poem seemed listening canadian homer singing iliad regions north
positive,portraying hardy companion really knew
positive,old friends united unchangeable friendship born cemented amidst extreme dangers
positive,ah brave ned
positive,ask live hundred years longer may time dwell longer memory
neutral,ned land opinion upon question marine monster
neutral,must admit believe unicorn one board share universal conviction
negative,even avoided subject one day thought duty press upon
positive,one magnificent evening 30th july say three weeks departure frigate abreast cape blanc thirty miles leeward coast patagonia
neutral,crossed tropic capricorn straits magellan opened less seven hundred miles south
neutral,eight days abraham lincoln would ploughing waters pacific
positive,seated poop ned land chatting one thing another looked mysterious sea whose great depths time inaccessible eye man
positive,naturally led conversation giant unicorn examined various chances success failure expedition
neutral,seeing ned land let speak without saying much pressed closely
positive,well ned said possible convinced existence cetacean following
positive,particular reason incredulous harpooner looked fixedly moments answering struck broad forehead hand habit collect said last perhaps mr aronnax ned whaler profession familiarised great marine mammalia whose imagination might easily accept hypothesis enormous cetaceans ought last doubt circumstances deceives professor replied ned
negative,vulgar believe extraordinary comets traversing space existence antediluvian monsters heart globe may well neither astronomer geologist believes chimeras
positive,whaler followed many cetacean harpooned great number killed several however strong well armed may neither tails weapons would able even scratch iron plates steamer ned tell ships teeth narwhal pierced wooden ships possible replied canadian never seen done proof deny whales cetaceans sea unicorns could ever produce effect describe well ned repeat conviction resting logic facts
positive,believe existence mammal power fully organised belonging branch vertebrata like whales cachalots dolphins furnished horn defence great penetrating power hum said harpooner shaking head air man would convinced
positive,notice one thing worthy canadian resumed
positive,animal existence inhabits depths ocean frequents strata lying miles surface water must necessarily possess organisation strength would defy comparison powerful organisation demanded ned
positive,requires incalculable strength keep one self strata resist pressure
neutral,listen
negative,let us admit pressure atmosphere represented weight column water thirty two feet high
positive,reality column water would shorter speaking sea water density greater fresh water
negative,well dive ned many times thirty two feet water many times body bear pressure equal atmosphere say 15 lbs
neutral,square inch surface
negative,follows 320 feet pressure 10 atmospheres 100 atmospheres 3200 feet 1000 atmospheres 32 000 feet 6 miles equivalent saying could attain depth ocean square three eighths inch surface body would bear pressure 5600 lbs
neutral,ah
positive,brave ned know many square inches carry surface body idea mr aronnax 6500 reality atmospheric pressure 15 lbs
negative,square inch 6500 square inches bear moment pressure 97 500 lbs without perceiving without perceiving
negative,crushed pressure air penetrates interior body equal pressure
positive,hence perfect equilibrium interior exterior pressure thus neutralise allows bear without inconvenience
positive,water another thing yes understand replied ned becoming attentive water surrounds penetrate precisely ned 32 feet beneath surface sea would undergo pressure 97 500 lbs
negative,320 feet ten times pressure 3200 feet hundred times pressure lastly 32 000 feet thousand times pressure would 97 500 000 lbs say would flattened drawn plates hydraulic machine devil exclaimed ned
positive,well worthy harpooner vertebrate several hundred yards long large proportion maintain depths whose surface represented millions square inches tens millions pounds must estimate pressure undergo
positive,consider must resistance bony structure strength organisation withstand pressure exclaimed ned land must made iron plates eight inches thick like armoured frigates say ned
positive,think destruction mass would cause hurled speed express train hull vessel yes certainly perhaps replied canadian shaken figures yet willing give
positive,voyage abraham lincoln long time marked special incident
positive,one circumstance happened showed wonderful dexterity ned land proved confidence might place
neutral,30th june frigate spoke american whalers learned knew nothing narwhal
positive,one captain monroe knowing ned land shipped board abraham lincoln begged help chasing whale sight
positive,commander farragut desirous seeing ned land work gave permission go board monroe
positive,fate served canadian well instead one whale harpooned two double blow striking one straight heart catching minutes pursuit
positive,decidedly monster ever ned land harpoon would bet favour
positive,frigate skirted south east coast america great rapidity
neutral,3rd july opening straits magellan level cape vierges
neutral,commander farragut would take tortuous passage doubled cape horn
positive,ship crew agreed
negative,certainly possible might meet narwhal narrow pass
negative,many sailors affirmed monster could pass big 6th july three clock afternoon abraham lincoln fifteen miles south doubled solitary island lost rock extremity american continent dutch sailors gave name native town cape horn
negative,course taken towards north west next day screw frigate last beating waters pacific
neutral,keep eyes open called sailors
neutral,opened widely
positive,eyes glasses little dazzled true prospect two thousand dollars instant repose
positive,day night watched surface ocean even nyctalopes whose faculty seeing darkness multiplies chances hundredfold would enough gain prize
positive,money charms least attentive board
negative,giving minutes meals hours sleep indifferent either rain sunshine leave poop vessel
positive,leaning netting forecastle taffrail devoured eagerness soft foam whitened sea far eye could reach often shared emotion majority crew capricious whale raised black back waves
neutral,poop vessel crowded moment
negative,cabins poured forth torrent sailors officers heaving breast troubled eye watching course cetacean
positive,looked looked till nearly blind whilst conseil always phlegmatic kept repeating calm voice sir would squint much would see better vain excitement
negative,abraham lincoln checked speed made animal signalled simple whale common cachalot soon disappeared amidst storm execration
positive,weather good
positive,voyage accomplished favourable auspices
positive,bad season australia july zone corresponding january europe sea beautiful easily scanned round vast circumference
negative,20th july tropic capricorn cut 105 longitude 27th month crossed equator 110th meridian
neutral,passed frigate took decided westerly direction scoured central waters pacific
positive,commander farragut thought reason better remain deep water keep clear continents islands beast seemed shun perhaps enough water
positive,suggested greater part crew
negative,frigate passed distance marquesas sandwich islands crossed tropic cancer made china seas
neutral,theatre last diversions monster say truth longer lived board
negative,hearts palpitated fearfully preparing future incurable aneurism
negative,entire ship crew undergoing nervous excitement give idea could eat could sleep twenty times day misconception optical illusion sailor seated taffrail would cause dreadful perspirations emotions twenty times repeated kept us state excitement violent reaction unavoidable
neutral,truly reaction soon showed
negative,three months day seemed age abraham lincoln furrowed waters northern pacific running whales making sharp deviations course veering suddenly one tack another stopping suddenly putting steam backing ever anon risk deranging machinery one point japanese american coast left unexplored
positive,warmest partisans enterprise became ardent detractors
positive,reaction mounted crew captain certainly resolute determination part captain farragut frigate would headed due southward
negative,useless search could last much longer
positive,abraham lincoln nothing reproach done best succeed
negative,never american ship crew shown zeal patience failure could placed charge remained nothing return
neutral,represented commander
negative,sailors could hide discontent service suffered
neutral,say mutiny board reasonable period obstinacy captain farragut columbus asked three days patience
neutral,three days monster appear man helm give three turns wheel abraham lincoln would make european seas
positive,promise made 2nd november
neutral,effect rallying ship crew
neutral,ocean watched renewed attention
neutral,one wished last glance sum remembrance
neutral,glasses used feverish activity
negative,grand defiance given giant narwhal could scarcely fail answer summons appear two days passed steam half pressure thousand schemes tried attract attention stimulate apathy animal case met parts
positive,large quantities bacon trailed wake ship great satisfaction must say sharks
negative,small craft radiated directions round abraham lincoln lay leave spot sea unexplored
neutral,night 4th november arrived without unveiling submarine mystery
neutral,next day 5th november twelve delay would morally speaking expire time commander farragut faithful promise turn course south east abandon ever northern regions pacific
neutral,frigate 31 15 north latitude 136 42 east longitude
neutral,coast japan still remained less two hundred miles leeward
neutral,night approaching
negative,struck eight bells large clouds veiled face moon first quarter
neutral,sea undulated peaceably stern vessel
neutral,moment leaning forward starboard netting
positive,conseil standing near looking straight
neutral,crew perched ratlines examined horizon contracted darkened degrees
negative,officers night glasses scoured growing darkness sometimes ocean sparkled rays moon darted two clouds trace light lost darkness
neutral,looking conseil could see undergoing little general influence
neutral,least thought
negative,perhaps first time nerves vibrated sentiment curiosity
positive,come conseil said last chance pocketing two thousand dollars may permitted say sir replied conseil never reckoned getting prize government union offered hundred thousand dollars would none poorer right conseil
negative,foolish affair one upon entered lightly
negative,time lost useless emotions
neutral,back france six months ago little room sir replied conseil museum sir already classed fossils sir
positive,babiroussa would installed cage jardin des plantes drawn curious people capital say conseil
positive,fancy shall run fair chance laughed pains tolerably certain replied conseil quietly think make fun sir
positive,must say go good friend well sir get deserts indeed one honour savant sir one expose one self conseil time finish compliment
neutral,midst general silence voice heard
neutral,voice ned land shouting look
negative,cry whole ship crew hurried towards harpooner commander officers masters sailors cabin boys even engineers left engines stokers furnaces
negative,order stop given frigate simply went momentum
positive,darkness profound however good canadian eyes asked managed see able see
neutral,heart beat would break
negative,ned land mistaken perceived object pointed
neutral,two cables length abraham lincoln starboard quarter sea seemed illuminated
neutral,mere phosphoric phenomenon
positive,monster emerged fathoms water threw intense inexplicable light mentioned report several captains
positive,magnificent irradiation must produced agent great shining power
positive,luminous part traced sea immense oval much elongated centre condensed burning heat whose overpowering brilliancy died successive gradations
negative,agglomeration phosphoric particles cried one officers
positive,sir certainly replied
positive,never pholades salp produce powerful light
positive,brightness essentially electrical nature
neutral,besides see see
negative,moves moving forwards backwards darting towards us general cry rose frigate
negative,silence said captain helm reverse engines steam shut abraham lincoln beating port described semicircle
negative,right helm go ahead cried captain
neutral,orders executed frigate moved rapidly burning light
negative,mistaken
neutral,tried sheer supernatural animal approached velocity double
neutral,gasped breath
negative,stupefaction fear made us dumb motionless
positive,animal gained us sporting waves
positive,made round frigate making fourteen knots enveloped electric rings like luminous dust
positive,moved away two three miles leaving phosphorescent track like volumes steam express trains leave behind
positive,dark line horizon whither retired gain momentum monster rushed suddenly towards abraham lincoln alarming rapidity stopped suddenly twenty feet hull died diving water brilliancy abate suddenly source brilliant emanation exhausted
neutral,reappeared side vessel turned slid hull
negative,moment collision might occurred would fatal us
positive,however astonished man uvres frigate
negative,fled attack
neutral,captain face generally impassive expression unaccountable astonishment
neutral,mr
negative,aronnax said know formidable deal imprudently risk frigate midst darkness
negative,besides attack unknown thing defend one self
negative,wait daylight scene change doubt captain nature animal sir evidently gigantic narwhal electric one perhaps added one approach gymnotus torpedo undoubtedly replied captain possesses dreadful power terrible animal ever created
neutral,sir must guard crew feet night
neutral,one thought sleep
negative,abraham lincoln able struggle velocity moderated pace sailed half speed
negative,part narwhal imitating frigate let waves rock seemed decided leave scene struggle
negative,towards midnight however disappeared use appropriate term died like large glow worm
neutral,fled
neutral,one could fear hope
positive,seven minutes one clock morning deafening whistling heard like produced body water rushing great violence
positive,captain ned land poop eagerly peering profound darkness
neutral,ned land asked commander often heard roaring whales often sir never whales sight brought two thousand dollars
positive,approach within four harpoon lengths approach said commander ought put whaler disposal certainly sir trifling lives men mine simply said harpooner
positive,towards two clock morning burning light reappeared less intense five miles windward abraham lincoln
neutral,notwithstanding distance noise wind sea one heard distinctly loud strokes animal tail even panting breath
positive,seemed moment enormous narwhal come take breath surface water air engulfed lungs like steam vast cylinders machine two thousand horse power
positive,hum thought whale strength cavalry regiment would pretty whale qui vive till daylight prepared combat
neutral,fishing implements laid along hammock nettings
negative,second lieutenant loaded blunderbusses could throw harpoons distance mile long duck guns explosive bullets inflicted mortal wounds even terrible animals
negative,ned land contented sharpening harpoon terrible weapon hands
negative,six clock day began break first glimmer light electric light narwhal disappeared
positive,seven clock day sufficiently advanced thick sea fog obscured view best spy glasses could pierce
negative,caused disappointment anger
neutral,climbed mizzen mast
neutral,officers already perched mast heads
negative,eight clock fog lay heavily waves thick scrolls rose little little
neutral,horizon grew wider clearer time
negative,suddenly day ned land voice heard thing port quarter cried harpooner
neutral,every eye turned towards point indicated
neutral,mile half frigate long blackish body emerged yard waves
negative,tail violently agitated produced considerable eddy
negative,never caudal appendage beat sea violence
positive,immense track dazzling whiteness marked passage animal described long curve
neutral,frigate approached cetacean
neutral,examined thoroughly
negative,reports shannon helvetia rather exaggerated size estimated length two hundred fifty feet
neutral,dimensions could conjecture admirably proportioned
positive,watched phenomenon two jets steam water ejected vents rose height 120 feet thus ascertained way breathing
neutral,concluded definitely belonged vertebrate branch class mammalia
negative,crew waited impatiently chief orders
neutral,latter observed animal attentively called engineer
neutral,engineer ran
positive,sir said commander steam yes sir answered engineer
positive,well make fires put steam three hurrahs greeted order
negative,time struggle arrived
negative,moments two funnels frigate vomited torrents black smoke bridge quaked trembling boilers
positive,abraham lincoln propelled wonderful screw went straight animal
negative,latter allowed come within half cable length disdaining dive took little turn stopped short distance
positive,pursuit lasted nearly three quarters hour without frigate gaining two yards cetacean
neutral,quite evident rate never come
positive,well mr land asked captain advise put boats sea sir replied ned land shall take beast easily shall put steam sir
negative,leave mean post bowsprit get within harpooning distance shall throw harpoon go ned said captain
negative,engineer put pressure ned land went post
positive,fires increased screw revolved forty three times minute steam poured valves
neutral,heaved log calculated abraham lincoln going rate 18 miles hour
neutral,accursed animal swam rate 18 miles hour
positive,whole hour frigate kept pace without gaining six feet
neutral,humiliating one swiftest sailers american navy
negative,stubborn anger seized crew sailors abused monster disdained answer captain longer contented twisting beard gnawed
neutral,engineer called
positive,turned full steam yes sir replied engineer
positive,speed abraham lincoln increased
negative,masts trembled stepping holes clouds smoke could hardly find way narrow funnels
neutral,heaved log second time
neutral,well asked captain man wheel
neutral,nineteen miles three tenths sir clap steam engineer obeyed
neutral,manometer showed ten degrees
positive,cetacean grew warm doubt without straining made 19 3 10 miles
neutral,pursuit
neutral,cannot describe emotion vibrated
neutral,ned land kept post harpoon hand
